temporal_condition,excluded_local_date,province,metric,oriented_improvement
exclude_2026-06-19,2026-06-19,haiphong,heldout_recall_2km,0.19194098150160518
exclude_2026-06-19,2026-06-19,haiphong,heldout_temporal_demand_capture,0.08433343481181081
exclude_2026-06-19,2026-06-19,haiphong,mean_service_distance_km,1.1136895880611704
exclude_2026-06-19,2026-06-19,haiphong,normalized_heldout_capture,0.6093876208476076
exclude_2026-06-19,2026-06-19,haiphong,p95_service_distance_km,4.124947932578689
exclude_2026-06-19,2026-06-19,haiphong,redundancy_jaccard,0.06079221749966771
exclude_2026-06-19,2026-06-19,haiphong,temporal_incremental_coverage,0.012642069072279149
exclude_2026-06-19,2026-06-19,haiphong,zone_gini,0.014436569316343443
exclude_2026-06-19,2026-06-19,haiphong,zone_jain,0.015829440858233994
exclude_2026-06-19,2026-06-19,hanoi,heldout_recall_2km,0.2910115297592719
exclude_2026-06-19,2026-06-19,hanoi,heldout_temporal_demand_capture,0.12267361273010557
exclude_2026-06-19,2026-06-19,hanoi,mean_service_distance_km,0.6547360164748514
exclude_2026-06-19,2026-06-19,hanoi,normalized_heldout_capture,0.5900442510463649
exclude_2026-06-19,2026-06-19,hanoi,p95_service_distance_km,5.273523506120018
exclude_2026-06-19,2026-06-19,hanoi,redundancy_jaccard,0.03599910501081258
exclude_2026-06-19,2026-06-19,hanoi,temporal_incremental_coverage,-0.08074182358253316
exclude_2026-06-19,2026-06-19,hanoi,zone_gini,0.044476461313948036
exclude_2026-06-19,2026-06-19,hanoi,zone_jain,0.049975805655415984
exclude_2026-06-19,2026-06-19,hochiminh,heldout_recall_2km,0.2416673758101182
exclude_2026-06-19,2026-06-19,hochiminh,heldout_temporal_demand_capture,0.12421171247225767
exclude_2026-06-19,2026-06-19,hochiminh,mean_service_distance_km,2.6422409279489316
exclude_2026-06-19,2026-06-19,hochiminh,normalized_heldout_capture,0.33717167447729524
exclude_2026-06-19,2026-06-19,hochiminh,p95_service_distance_km,6.793686613515412
exclude_2026-06-19,2026-06-19,hochiminh,redundancy_jaccard,0.0025907398093408343
exclude_2026-06-19,2026-06-19,hochiminh,temporal_incremental_coverage,0.02072501090007468
exclude_2026-06-19,2026-06-19,hochiminh,zone_gini,0.03803002226447442
exclude_2026-06-19,2026-06-19,hochiminh,zone_jain,0.04274358132976064
exclude_2026-06-20,2026-06-20,cantho,heldout_recall_2km,0.034919597976228345
exclude_2026-06-20,2026-06-20,cantho,heldout_temporal_demand_capture,-0.010376343214966006
exclude_2026-06-20,2026-06-20,cantho,mean_service_distance_km,3.8210176858304323
exclude_2026-06-20,2026-06-20,cantho,normalized_heldout_capture,0.21627568482326304
exclude_2026-06-20,2026-06-20,cantho,p95_service_distance_km,17.392219625965026
exclude_2026-06-20,2026-06-20,cantho,redundancy_jaccard,0.3662674348264419
exclude_2026-06-20,2026-06-20,cantho,temporal_incremental_coverage,-0.018494835135053372
exclude_2026-06-20,2026-06-20,cantho,zone_gini,0.0461325103633922
exclude_2026-06-20,2026-06-20,cantho,zone_jain,0.050983830735440945
exclude_2026-06-20,2026-06-20,danang,heldout_recall_2km,0.029122732702821674
exclude_2026-06-20,2026-06-20,danang,heldout_temporal_demand_capture,0.02059100039043286
exclude_2026-06-20,2026-06-20,danang,mean_service_distance_km,2.3042108493308073
exclude_2026-06-20,2026-06-20,danang,normalized_heldout_capture,0.1490362749016515
exclude_2026-06-20,2026-06-20,danang,p95_service_distance_km,11.75077213405424
exclude_2026-06-20,2026-06-20,danang,redundancy_jaccard,0.16655664024301517
exclude_2026-06-20,2026-06-20,danang,temporal_incremental_coverage,-0.0019068323741851384
exclude_2026-06-20,2026-06-20,danang,zone_gini,0.0271570657107576
exclude_2026-06-20,2026-06-20,danang,zone_jain,0.030597670711047843
exclude_2026-06-20,2026-06-20,haiphong,heldout_recall_2km,0.19207759201979732
exclude_2026-06-20,2026-06-20,haiphong,heldout_temporal_demand_capture,0.08866095665316658
exclude_2026-06-20,2026-06-20,haiphong,mean_service_distance_km,1.1670029331056868
exclude_2026-06-20,2026-06-20,haiphong,normalized_heldout_capture,0.6179315879453502
exclude_2026-06-20,2026-06-20,haiphong,p95_service_distance_km,4.030226688263737
exclude_2026-06-20,2026-06-20,haiphong,redundancy_jaccard,0.05751191807405006
exclude_2026-06-20,2026-06-20,haiphong,temporal_incremental_coverage,0.015047656695130293
exclude_2026-06-20,2026-06-20,haiphong,zone_gini,0.014286559473951632
exclude_2026-06-20,2026-06-20,haiphong,zone_jain,0.015619955593784965
exclude_2026-06-20,2026-06-20,hanoi,heldout_recall_2km,0.2909852635168234
exclude_2026-06-20,2026-06-20,hanoi,heldout_temporal_demand_capture,0.12068762697022699
exclude_2026-06-20,2026-06-20,hanoi,mean_service_distance_km,0.6634646587872942
exclude_2026-06-20,2026-06-20,hanoi,normalized_heldout_capture,0.5907426702987445
exclude_2026-06-20,2026-06-20,hanoi,p95_service_distance_km,5.384202193332954
exclude_2026-06-20,2026-06-20,hanoi,redundancy_jaccard,0.03500976176447365
exclude_2026-06-20,2026-06-20,hanoi,temporal_incremental_coverage,-0.07980801336388745
exclude_2026-06-20,2026-06-20,hanoi,zone_gini,0.04492258908405936
exclude_2026-06-20,2026-06-20,hanoi,zone_jain,0.050482335471391505
exclude_2026-06-20,2026-06-20,hochiminh,heldout_recall_2km,0.24703191505696895
exclude_2026-06-20,2026-06-20,hochiminh,heldout_temporal_demand_capture,0.1255140876519911
exclude_2026-06-20,2026-06-20,hochiminh,mean_service_distance_km,2.653041201565204
exclude_2026-06-20,2026-06-20,hochiminh,normalized_heldout_capture,0.3406097651296061
exclude_2026-06-20,2026-06-20,hochiminh,p95_service_distance_km,6.778185857741433
exclude_2026-06-20,2026-06-20,hochiminh,redundancy_jaccard,0.002933901122528794
exclude_2026-06-20,2026-06-20,hochiminh,temporal_incremental_coverage,0.0224842767162597
exclude_2026-06-20,2026-06-20,hochiminh,zone_gini,0.037663533259456594
exclude_2026-06-20,2026-06-20,hochiminh,zone_jain,0.04228100524696302
exclude_2026-06-21,2026-06-21,cantho,heldout_recall_2km,0.021227953541605782
exclude_2026-06-21,2026-06-21,cantho,heldout_temporal_demand_capture,-0.017040852893438374
exclude_2026-06-21,2026-06-21,cantho,mean_service_distance_km,3.718022433577561
exclude_2026-06-21,2026-06-21,cantho,normalized_heldout_capture,0.22372691285351332
exclude_2026-06-21,2026-06-21,cantho,p95_service_distance_km,17.279316749720284
exclude_2026-06-21,2026-06-21,cantho,redundancy_jaccard,0.3596805809792059
exclude_2026-06-21,2026-06-21,cantho,temporal_incremental_coverage,-0.024158106531690125
exclude_2026-06-21,2026-06-21,cantho,zone_gini,0.045515076794916697
exclude_2026-06-21,2026-06-21,cantho,zone_jain,0.05039122765865341
exclude_2026-06-21,2026-06-21,danang,heldout_recall_2km,0.037007793741617195
exclude_2026-06-21,2026-06-21,danang,heldout_temporal_demand_capture,0.016940286460273738
exclude_2026-06-21,2026-06-21,danang,mean_service_distance_km,2.2154207432504007
exclude_2026-06-21,2026-06-21,danang,normalized_heldout_capture,0.16156752623480028
exclude_2026-06-21,2026-06-21,danang,p95_service_distance_km,12.317155704839761
exclude_2026-06-21,2026-06-21,danang,redundancy_jaccard,0.16531588752405663
exclude_2026-06-21,2026-06-21,danang,temporal_incremental_coverage,-0.004326359223504929
exclude_2026-06-21,2026-06-21,danang,zone_gini,0.028081073772916243
exclude_2026-06-21,2026-06-21,danang,zone_jain,0.03164645590053001
