partition_mode,block_seed,province,block_id,metric,b5,b6,raw_b6_minus_b5,oriented_improvement
kmeans,5,danang,1,redundancy_jaccard,0.2560903971803706,0.050899159034742666,-0.2051912381456279,0.2051912381456279
kmeans,5,danang,2,heldout_temporal_demand_capture,0.0,0.0,0.0,0.0
kmeans,5,danang,2,normalized_heldout_capture,,,,
kmeans,5,danang,2,heldout_recall_2km,0.0,0.0,0.0,0.0
kmeans,5,danang,2,temporal_incremental_coverage,0.11748056484235908,0.1031573316887869,-0.014323233153572187,-0.014323233153572187
kmeans,5,danang,2,zone_jain,0.24814760464184976,0.29012569252652654,0.041978087884676774,0.041978087884676774
kmeans,5,danang,2,zone_gini,0.7784071747968866,0.7415889156806963,-0.0368182591161903,0.0368182591161903
kmeans,5,danang,2,mean_service_distance_km,4.976005730967968,3.7254285041930317,-1.250577226774936,1.250577226774936
kmeans,5,danang,2,p95_service_distance_km,39.46623065961536,26.790519487767842,-12.67571117184752,12.67571117184752
kmeans,5,danang,2,redundancy_jaccard,0.2560903971803706,0.05196867775132021,-0.20412171942905036,0.20412171942905036
kmeans,5,cantho,0,heldout_temporal_demand_capture,0.22272393584201505,0.1722178364302205,-0.05050609941179454,-0.05050609941179454
kmeans,5,cantho,0,normalized_heldout_capture,0.3688312519810017,0.285193057422772,-0.08363819455822968,-0.08363819455822968
kmeans,5,cantho,0,heldout_recall_2km,0.4953832943769133,0.3175851838286623,-0.177798110548251,-0.177798110548251
kmeans,5,cantho,0,temporal_incremental_coverage,0.16076996977246452,0.16126500872926572,0.000495038956801197,0.000495038956801197
kmeans,5,cantho,0,zone_jain,0.1173843077866881,0.13969743996752704,0.02231313218083894,0.02231313218083894
kmeans,5,cantho,0,zone_gini,0.8939400693451596,0.8737271362808405,-0.02021293306431904,0.02021293306431904
kmeans,5,cantho,0,mean_service_distance_km,9.601552622861176,7.732447762222716,-1.8691048606384602,1.8691048606384602
kmeans,5,cantho,0,p95_service_distance_km,40.840321875252414,32.96568193746696,-7.874639937785453,7.874639937785453
kmeans,5,cantho,0,redundancy_jaccard,0.4419696037583336,0.3308035051493921,-0.1111660986089415,0.1111660986089415
kmeans,5,cantho,1,heldout_temporal_demand_capture,0.0,0.01817948487535579,0.01817948487535579,0.01817948487535579
kmeans,5,cantho,1,normalized_heldout_capture,0.0,0.5409861386565809,0.5409861386565809,0.5409861386565809
kmeans,5,cantho,1,heldout_recall_2km,0.0,0.2756476716460161,0.2756476716460161,0.2756476716460161
