partition_mode,block_seed,province,metric,oriented_improvement
kmeans,6,hochiminh,temporal_incremental_coverage,0.02101268162253499
kmeans,6,hochiminh,zone_gini,0.03794946766866943
kmeans,6,hochiminh,zone_jain,0.04266807710014873
kmeans,7,cantho,heldout_recall_2km,0.0326165203659217
kmeans,7,cantho,heldout_temporal_demand_capture,-0.010775538178812917
kmeans,7,cantho,mean_service_distance_km,3.7748798691200016
kmeans,7,cantho,normalized_heldout_capture,0.22867397204917558
kmeans,7,cantho,p95_service_distance_km,17.392219625965026
kmeans,7,cantho,redundancy_jaccard,0.3662674348264419
kmeans,7,cantho,temporal_incremental_coverage,-0.021006978213785388
kmeans,7,cantho,zone_gini,0.04607809043108194
kmeans,7,cantho,zone_jain,0.05093622448969295
kmeans,7,danang,heldout_recall_2km,0.02981288859362614
kmeans,7,danang,heldout_temporal_demand_capture,0.020704767676296237
kmeans,7,danang,mean_service_distance_km,2.265745942432203
kmeans,7,danang,normalized_heldout_capture,0.15784915663167937
kmeans,7,danang,p95_service_distance_km,11.75077213405424
kmeans,7,danang,redundancy_jaccard,0.16655664024301514
kmeans,7,danang,temporal_incremental_coverage,-0.0023035360123629437
kmeans,7,danang,zone_gini,0.027186893189389123
kmeans,7,danang,zone_jain,0.030653447822059116
kmeans,7,haiphong,heldout_recall_2km,0.19238705357090322
kmeans,7,haiphong,heldout_temporal_demand_capture,0.08886552154448762
kmeans,7,haiphong,mean_service_distance_km,1.1563052987508486
kmeans,7,haiphong,normalized_heldout_capture,0.6215641581363859
kmeans,7,haiphong,p95_service_distance_km,4.290980620699314
kmeans,7,haiphong,redundancy_jaccard,0.05955987361926479
kmeans,7,haiphong,temporal_incremental_coverage,0.0152764808651302
kmeans,7,haiphong,zone_gini,0.014508915736078857
kmeans,7,haiphong,zone_jain,0.015855576904629003
kmeans,7,hanoi,heldout_recall_2km,0.29112972630690476
kmeans,7,hanoi,heldout_temporal_demand_capture,0.12200488284489835
kmeans,7,hanoi,mean_service_distance_km,0.6570836487668597
kmeans,7,hanoi,normalized_heldout_capture,0.5911746036429255
kmeans,7,hanoi,p95_service_distance_km,5.372321234485002
kmeans,7,hanoi,redundancy_jaccard,0.03599910501081258
kmeans,7,hanoi,temporal_incremental_coverage,-0.08001392544401681
kmeans,7,hanoi,zone_gini,0.04447899296143384
kmeans,7,hanoi,zone_jain,0.049976487887269085
kmeans,7,hochiminh,heldout_recall_2km,0.24159893410551603
kmeans,7,hochiminh,heldout_temporal_demand_capture,0.12238988782785258
kmeans,7,hochiminh,mean_service_distance_km,2.626608191297366
kmeans,7,hochiminh,normalized_heldout_capture,0.33392906982620735
kmeans,7,hochiminh,p95_service_distance_km,6.8117017591886935
