province,budget_fraction,method,heldout_temporal_demand_capture,normalized_heldout_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,runtime_seconds,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_recall_1km,normalized_heldout_recall_2km
haiphong,0.02,B2_poi_density,0.007267023662368629,0.01926852960040554,0.0,0.036426748685965134,0.03333333333333333,0.024144316441409002,0.16616020376112559,0.2254146115387936,0.7982833780504839,4.81492923754086,14.92562538208927,0.25403808968066,0.0005972709999089906,0.21061758873038317,0.247393774820483,0.39855169452478095,0.0,0.05974970739033552
haiphong,0.02,B3_temporal_rank,0.03182042399626749,0.08437192586072978,0.030930124446255747,0.04675977616294791,0.03333333333333333,0.06234123183471966,0.02558898439572577,0.21459315214105212,0.8080877742614118,4.923095400452634,16.082783838854766,0.2845350795162316,0.00039266200004324975,0.21061758873038317,0.247393774820483,0.39855169452478095,0.0662351195263495,0.07669866359635273
haiphong,0.02,B4_weighted_spatial_diversity,0.0,0.0,0.0,0.0,0.0,0.013273710919996866,0.01054213651811612,0.23015658977918196,0.7943034382455455,4.285049924632339,14.501150997852678,0.0,0.0010809193331624556,0.21061758873038317,0.247393774820483,0.39855169452478095,0.0,0.0
haiphong,0.02,B5_static_coverage,0.007509920267308388,0.019912570495215876,0.0,0.03771816498393748,0.03333333333333333,0.023477699925338713,0.16388107543749944,0.22509991107978053,0.7984539801320564,4.818047752885725,14.92562538208927,0.24548443597853456,0.023132866333374597,0.21061758873038317,0.247393774820483,0.39855169452478095,0.0,0.06186797895467878
haiphong,0.02,B6_evspark_cover,0.07329425176121074,0.46317727534316183,0.07148117199611281,0.17891607345213525,0.13333333333333333,0.055044844388222915,0.04530285931704433,0.2332462261798084,0.7911514231352585,3.5573059486162353,11.235366583916393,0.16620895354285511,0.022709398000036646,0.21061758873038317,0.247393774820483,0.39855169452478095,0.4327699651856121,0.4550796246824562
haiphong,0.05,B1_random,0.03503512715204042,0.13260621949101337,0.039833737295070414,0.10834901351873037,0.08849206349206347,0.05655598760553232,0.06037623919341542,0.24141158624999492,0.7842690683411804,3.8541830164554867,11.388107343301089,0.03091380544898004,0.00041382226672794783,0.2106175887303832,0.247393774820483,0.39855169452478095,0.12751595185317724,0.22487127574204938
haiphong,0.05,B2_poi_density,0.02526257949048279,0.06698378639052152,0.02683928213728899,0.05239552729432462,0.049999999999999996,0.04378041222012068,0.22222900279163596,0.23028713540775683,0.7945024310550591,4.682097563190815,14.693845015190922,0.29283451985607284,0.0005481996666579411,0.21061758873038317,0.247393774820483,0.39855169452478095,0.05747481111670579,0.08594281777347947
haiphong,0.05,B3_temporal_rank,0.040517257386881105,0.10743159917438648,0.03986019989226841,0.06177404150290853,0.049999999999999996,0.09968676115458049,0.053513250649266035,0.22132683485683013,0.8023914130638087,4.758195195295394,15.655358114150326,0.22698816872657981,0.0004521583332461887,0.21061758873038317,0.247393774820483,0.39855169452478095,0.08535837315482203,0.10132611438745631
haiphong,0.05,B4_weighted_spatial_diversity,0.037674309232175185,0.2521100922198624,0.03793066356256377,0.04303510719686943,0.047619047619047616,0.02250942045396651,0.0167281623141298,0.24369847594913144,0.7821610792291797,3.6140145500064413,9.663876779494334,0.0,0.002142036666706796,0.21061758873038317,0.247393774820483,0.39855169452478095,0.22654790913632503,0.18354833135123338
haiphong,0.05,B5_static_coverage,0.02297514110499967,0.06091863836189665,0.029993476046861926,0.05588294998440126,0.049999999999999996,0.07031905148623542,0.22510471861680356,0.23453893536144718,0.7907598732508075,4.458967354767004,14.570960290830326,0.1912743020500712,0.03526610866674673,0.21061758873038317,0.247393774820483,0.39855169452478095,0.0642293397308038,0.09166313300322655
haiphong,0.05,B6_evspark_cover,0.11184066264948729,0.6824827964982826,0.10942286555725138,0.24827000355530449,0.21428571428571427,0.08559553235136562,0.08465767437639615,0.2503945122660762,0.7762509575147286,3.302662056016155,10.279979670131011,0.1317144284308064,0.02621510766675783,0.21061758873038317,0.247393774820483,0.39855169452478095,0.634369843802277,0.7101561317996717
haiphong,0.1,B1_random,0.06488966200726536,0.27820323551999687,0.07507850847303742,0.17733833682512126,0.1473015873015873,0.10069818529670221,0.10999031945303646,0.2730475532528353,0.7564977554764809,2.9672242207338244,9.305133031581818,0.029663111016033347,0.0005776814888728646,0.2106175887303832,0.247393774820483,0.39855169452478095,0.28780313620206577,0.38995505670841163
haiphong,0.1,B2_poi_density,0.04063101201414625,0.10773321982466617,0.04894728262343248,0.06986094249187265,0.049999999999999996,0.0782984703028003,0.2543757496114454,0.23540275303262484,0.789971986354748,4.509975308833439,14.693845015190922,0.27231249174881894,0.0006987736664996191,0.21061758873038317,0.247393774820483,0.39855169452478095,0.10481784904184323,0.11459081643239588
haiphong,0.1,B3_temporal_rank,0.04226158550891038,0.11205668911680534,0.04243111014714716,0.07365197780230126,0.06666666666666667,0.13444431406073654,0.08100664047048674,0.22621754836772265,0.798070335721393,4.610968088761646,15.44343304899609,0.20531248864877183,0.0005665243334078696,0.21061758873038317,0.247393774820483,0.39855169452478095,0.09086383267275248,0.12080913837096112
haiphong,0.1,B4_weighted_spatial_diversity,0.038042283940194814,0.2530857779865668,0.0383609033061206,0.04658018766539432,0.047619047619047616,0.042860833828940244,0.03426490487001791,0.2905160355862521,0.7404003261471583,2.661182457119569,6.583754415323942,0.0,0.002690665666705172,0.21061758873038317,0.247393774820483,0.39855169452478095,0.22746924331617902,0.18936322091207872
haiphong,0.1,B5_static_coverage,0.05303507018436588,0.23715020052800764,0.05972910568247091,0.1322254694532892,0.10000000000000002,0.12805754631756452,0.25902232544480347,0.24973220625970327,0.7774789266305993,4.105049217263844,12.882946469315778,0.12937631775230227,0.04511836266662309,0.21061758873038317,0.247393774820483,0.39855169452478095,0.1528781665341436,0.26946583113446865
