run_key,status,fold,province,block_id,service_radius,sigma_ratio,tau,candidate_count,poi_count,hidden_stations,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
service|2|nghean|0|5.0|0.5|1.0,ok,2,nghean,0,5.0,0.5,1.0,48,370,33,3,3,0.1845055181266838,0.0749670429629429,0.04418401864668447,0.14208767407065978,0.8724510460599522,5.029678520311589,24.638456905101616,0.3055555555555555,0.6176296636726241,0.0,0.0,0.0,0.0,29.328314098995904,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,56,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,5.014785684710894,0.004339031999961662
service|2|nghean|0|5.0|0.5|2.0,ok,2,nghean,0,5.0,0.5,2.0,48,370,33,3,3,0.12117897515716114,0.06637068411755234,0.04487126361946733,0.14090196463491347,0.8738488764859333,8.328071979953783,42.63148918868633,0.844017094017094,0.6176296636726241,0.0,0.0,0.0,0.0,39.06590487288238,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,58,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,5.014785684710894,0.004304728000079194
service|2|nghean|0|5.0|0.75|0.5,ok,2,nghean,0,5.0,0.75,0.5,48,370,33,3,3,0.2896927022290974,0.06953403734061749,0.0374545936345622,0.14780017464755443,0.8673875706538778,4.597055363751274,22.05906924846832,0.0,7.901393111578234,0.0,0.0,0.0,0.0,27.461706613146458,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,58,3,0,0,True,True,True,True,True,True,True,True,7.901393111578234,5.60930274162765,0.004245781000008719
service|2|nghean|0|5.0|0.75|1.0,ok,2,nghean,0,5.0,0.75,1.0,48,370,33,3,3,0.20102445061621801,0.0661326134967392,0.042172051149464644,0.1417330424280904,0.8727682659073708,4.824758915589251,22.05906924846832,0.3055555555555555,0.5752597097454654,0.0,0.0,0.0,0.0,27.361660134975477,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,57,3,0,0,True,True,True,True,True,True,True,True,0.5752597097454654,5.014785684710894,0.0056525749998854735
service|2|nghean|0|5.0|0.75|2.0,ok,2,nghean,0,5.0,0.75,2.0,48,370,33,3,3,0.1360467396142633,0.05736887978247755,0.03930364545062518,0.13646578420805958,0.8769683894140179,8.358373157882626,42.63148918868633,0.5192307692307693,0.5752597097454654,0.0,0.0,0.0,0.0,38.35970371375752,0.09476584353201947,0.09028543246280077,0.126193563502359,0.0,0.0,0.0,58,3,0,0,True,True,True,True,True,True,True,True,0.5752597097454654,3.546711561890616,0.004412057999843455
service|2|nghean|1|1.5|0.35|0.5,ok,2,nghean,1,1.5,0.35,0.5,46,370,12,3,3,0.1409086435237668,0.08985595433597728,0.040501629463881014,0.21587425016195258,0.8055317892381908,5.725108018642998,25.726638102103916,0.0,16.120219766838645,0.0,0.0,0.0,0.0,76.01102912969016,0.0,0.0,0.0,,,,49,3,0,0,True,True,True,True,True,True,True,True,16.120219766838645,0.786827121612965,0.003895010999940496
service|2|nghean|1|1.5|0.35|1.0,ok,2,nghean,1,1.5,0.35,1.0,46,370,12,3,3,0.09147635580877413,0.08985595433597728,0.040501629463881014,0.21587425016195258,0.8055317892381908,5.725108018642998,25.726638102103916,0.0,16.120219766838645,0.0,0.0,0.0,0.0,76.01102912969016,0.0,0.0,0.0,,,,49,3,0,0,True,True,True,True,True,True,True,True,16.120219766838645,0.786827121612965,0.0034901059998446726
service|2|nghean|1|1.5|0.35|2.0,ok,2,nghean,1,1.5,0.35,2.0,46,370,12,3,3,0.051782938740393684,0.08985595433597728,0.040501629463881014,0.21587425016195258,0.8055317892381908,5.725108018642998,25.726638102103916,0.0,16.120219766838645,0.0,0.0,0.0,0.0,76.01102912969016,0.0,0.0,0.0,,,,49,3,0,0,True,True,True,True,True,True,True,True,16.120219766838645,0.786827121612965,0.003427475000080449
service|2|nghean|1|1.5|0.5|0.5,ok,2,nghean,1,1.5,0.5,0.5,46,370,12,3,3,0.182264946787829,0.08985595433597728,0.040501629463881014,0.21587425016195258,0.8055317892381908,5.725108018642998,25.726638102103916,0.0,16.120219766838645,0.0,0.0,0.0,0.0,76.01102912969016,0.0,0.0,0.0,,,,49,3,0,0,True,True,True,True,True,True,True,True,16.120219766838645,0.786827121612965,0.0032925619998422917
service|2|nghean|1|1.5|0.5|1.0,ok,2,nghean,1,1.5,0.5,1.0,46,370,12,3,3,0.1173187531761782,0.08985595433597728,0.040501629463881014,0.21587425016195258,0.8055317892381908,5.725108018642998,25.726638102103916,0.0,16.120219766838645,0.0,0.0,0.0,0.0,76.01102912969016,0.0,0.0,0.0,,,,49,3,0,0,True,True,True,True,True,True,True,True,16.120219766838645,0.786827121612965,0.003369167000073503
service|2|nghean|1|1.5|0.5|2.0,ok,2,nghean,1,1.5,0.5,2.0,46,370,12,3,3,0.06493763433596586,0.0864786996535401,0.04625512406086986,0.20965696020613844,0.810940958246384,5.910551190579352,25.726638102103916,0.3055555555555555,0.5752597097454654,0.0,0.0,0.0,0.0,93.00946163513522,0.0,0.0,0.0,,,,49,3,0,0,True,True,True,True,True,True,True,True,0.5752597097454654,0.786827121612965,0.005368877999899269
service|2|nghean|1|1.5|0.75|0.5,ok,2,nghean,1,1.5,0.75,0.5,46,370,12,3,3,0.21316951361647335,0.08989364569150726,0.040534474850092185,0.21617458772321121,0.8052894316073747,5.724602435575803,25.726638102103916,0.0,16.122871297744943,0.0,0.0,0.0,0.0,76.01470708951936,0.0,0.0,0.0,,,,50,3,0,0,True,True,True,True,True,True,True,True,16.122871297744943,0.786827121612965,0.0036094059998958983
service|2|nghean|1|1.5|0.75|1.0,ok,2,nghean,1,1.5,0.75,1.0,46,370,12,3,3,0.1449962366930706,0.08989364569150726,0.040534474850092185,0.21617458772321121,0.8052894316073747,5.724602435575803,25.726638102103916,0.0,16.122871297744943,0.0,0.0,0.0,0.0,76.01470708951936,0.0,0.0,0.0,,,,51,3,0,0,True,True,True,True,True,True,True,True,16.122871297744943,0.786827121612965,0.0036722139998346393
service|2|nghean|1|1.5|0.75|2.0,ok,2,nghean,1,1.5,0.75,2.0,46,370,12,3,3,0.08619888232256007,0.08667162891483493,0.04638788580300054,0.20992727073235856,0.8107299587664907,5.909308655298747,25.726638102103916,0.3055555555555555,0.6176296636726241,0.0,0.0,0.0,0.0,93.00946163513522,0.0,0.0,0.0,,,,51,3,0,0,True,True,True,True,True,True,True,True,0.6176296636726241,0.786827121612965,0.003514532999815856
service|2|nghean|1|2.5|0.35|0.5,ok,2,nghean,1,2.5,0.35,0.5,46,370,12,3,3,0.1886398416253946,0.08989364569150726,0.040534474850092185,0.21617458772321121,0.8052894316073747,5.724602435575803,25.726638102103916,0.0,16.122871297744943,0.0,0.0,0.0,0.0,76.01470708951936,0.0,0.0,0.0,,,,50,3,0,0,True,True,True,True,True,True,True,True,16.122871297744943,0.786827121612965,0.003417076999994606
service|2|nghean|1|2.5|0.35|1.0,ok,2,nghean,1,2.5,0.35,1.0,46,370,12,3,3,0.1266378598484956,0.08985595433597728,0.040501629463881014,0.21587425016195258,0.8055317892381908,5.725108018642998,25.726638102103916,0.0,16.120219766838645,0.0,0.0,0.0,0.0,76.01102912969016,0.0,0.0,0.0,,,,49,3,0,0,True,True,True,True,True,True,True,True,16.120219766838645,0.786827121612965,0.004746172000068327
service|2|nghean|1|2.5|0.35|2.0,ok,2,nghean,1,2.5,0.35,2.0,46,370,12,3,3,0.07283688732676782,0.0864786996535401,0.04625512406086986,0.20965696020613844,0.810940958246384,5.910551190579352,25.726638102103916,0.3055555555555555,0.5752597097454654,0.0,0.0,0.0,0.0,93.00946163513522,0.0,0.0,0.0,,,,50,3,0,0,True,True,True,True,True,True,True,True,0.5752597097454654,0.786827121612965,0.003625427000088166
