run_key,status,fold,province,block_id,local_passes,candidate_count,budget_k,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,swaps,local_evaluations,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds
local|1|sonla|0|3,ok,1,sonla,0,3,22,2,2,0.1376321575440493,0.11393123048053119,0.024708802792519868,0.09940870468924698,0.9097656383268828,9.778142421001313,42.94958985605909,1.0,0.7329085543719109,0.0,0.0,0.0,0.0,27.289125120148668,0.0,0.0,0.0,,,,23,2,0,40,True,True,True,True,True,True,True,True,0.7329085543719109,58.479600468572194,0.011938499000052616
local|1|sonla|1|0,ok,1,sonla,1,0,28,2,2,0.17596822151975972,0.16684839002293195,0.09589152079097711,0.14937993579429135,0.8658738913093287,8.806908088570282,46.028890961574454,0.9565217391304348,0.6662143947414969,0.11585714702915487,0.24647471473284344,0.24647471473284344,0.3333333333333333,15.237228693650994,0.48745258609695685,0.6678813105487064,0.6772296299173806,0.23767880268484262,0.3690396943887365,0.36394555678686474,31,2,0,0,True,True,True,True,True,True,True,True,0.6662143947414969,42.35023180639725,0.0024716960001569532
local|1|sonla|1|1,ok,1,sonla,1,1,28,2,2,0.17596822151975972,0.16684839002293195,0.09589152079097711,0.14937993579429135,0.8658738913093287,8.806908088570282,46.028890961574454,0.9565217391304348,0.6662143947414969,0.11585714702915487,0.24647471473284344,0.24647471473284344,0.3333333333333333,15.237228693650994,0.48745258609695685,0.6678813105487064,0.6772296299173806,0.23767880268484262,0.3690396943887365,0.36394555678686474,31,2,0,52,True,True,True,True,True,True,True,True,0.6662143947414969,42.35023180639725,0.011869089999891003
local|1|sonla|1|3,ok,1,sonla,1,3,28,2,2,0.17596822151975972,0.16684839002293195,0.09589152079097711,0.14937993579429135,0.8658738913093287,8.806908088570282,46.028890961574454,0.9565217391304348,0.6662143947414969,0.11585714702915487,0.24647471473284344,0.24647471473284344,0.3333333333333333,15.237228693650994,0.48745258609695685,0.6678813105487064,0.6772296299173806,0.23767880268484262,0.3690396943887365,0.36394555678686474,31,2,0,52,True,True,True,True,True,True,True,True,0.6662143947414969,42.35023180639725,0.015821221000123842
local|1|tayninh|0|0,ok,1,tayninh,0,0,67,4,4,0.06835813521578787,0.03808714573725067,0.0769034163853837,0.2028184244856352,0.8152937197641392,4.963685063929379,14.267128317862792,0.005847953216374269,2.7659251981243838,0.08537000949099564,0.10409809066540507,0.2613163023973963,0.4166666666666667,9.1765849804045,0.11426986512761875,0.1453222521445866,0.3025404638765778,0.7470911897520208,0.7163258835393904,0.8637400070358885,72,4,0,0,True,True,True,True,True,True,True,True,2.7659251981243838,16.013857527559747,0.005073700999901121
local|1|tayninh|0|1,ok,1,tayninh,0,1,67,4,4,0.06835813521578787,0.03808714573725067,0.0769034163853837,0.2028184244856352,0.8152937197641392,4.963685063929379,14.267128317862792,0.005847953216374269,2.7659251981243838,0.08537000949099564,0.10409809066540507,0.2613163023973963,0.4166666666666667,9.1765849804045,0.11426986512761875,0.1453222521445866,0.3025404638765778,0.7470911897520208,0.7163258835393904,0.8637400070358885,72,4,0,252,True,True,True,True,True,True,True,True,2.7659251981243838,16.013857527559747,0.04747077199999694
local|1|tayninh|0|3,ok,1,tayninh,0,3,67,4,4,0.06835813521578787,0.03808714573725067,0.0769034163853837,0.2028184244856352,0.8152937197641392,4.963685063929379,14.267128317862792,0.005847953216374269,2.7659251981243838,0.08537000949099564,0.10409809066540507,0.2613163023973963,0.4166666666666667,9.1765849804045,0.11426986512761875,0.1453222521445866,0.3025404638765778,0.7470911897520208,0.7163258835393904,0.8637400070358885,72,4,0,252,True,True,True,True,True,True,True,True,2.7659251981243838,16.013857527559747,0.04775769799994123
local|1|tayninh|1|0,ok,1,tayninh,1,0,67,4,4,0.05519300640116494,0.04838208686644669,0.04566589676164842,0.2149610507306609,0.8078613348273653,7.276445158676158,37.487682024728585,0.0,12.416604390136259,0.018148751254167955,0.026412934546386282,0.026412934546386282,0.0,20.260251910711165,0.019038331514003592,0.026412934546386282,0.050041179964454514,0.9532742530940115,1.0,0.5278239754767582,70,4,0,0,True,True,True,True,True,True,True,True,12.416604390136259,5.438621854683096,0.005150249000053009
local|1|tayninh|1|1,ok,1,tayninh,1,1,67,4,4,0.05519300640116494,0.04838208686644669,0.04566589676164842,0.2149610507306609,0.8078613348273653,7.276445158676158,37.487682024728585,0.0,12.416604390136259,0.018148751254167955,0.026412934546386282,0.026412934546386282,0.0,20.260251910711165,0.019038331514003592,0.026412934546386282,0.050041179964454514,0.9532742530940115,1.0,0.5278239754767582,70,4,0,252,True,True,True,True,True,True,True,True,12.416604390136259,5.438621854683096,0.07976275400005761
local|1|tayninh|1|3,ok,1,tayninh,1,3,67,4,4,0.05519300640116494,0.04838208686644669,0.04566589676164842,0.2149610507306609,0.8078613348273653,7.276445158676158,37.487682024728585,0.0,12.416604390136259,0.018148751254167955,0.026412934546386282,0.026412934546386282,0.0,20.260251910711165,0.019038331514003592,0.026412934546386282,0.050041179964454514,0.9532742530940115,1.0,0.5278239754767582,70,4,0,252,True,True,True,True,True,True,True,True,12.416604390136259,5.438621854683096,0.07288771599996835
