radius_km,alpha,fold,period,status,n_train,n_val,macro_spearman,macro_nmae,intercept,beta__tourism_hotel,beta__market_local,beta__commercial_industrial_area,beta__mall_supermarket,beta__transport_hub,beta__parking
1.0,10.0,4,weekday_evening,ok,2073,456,-0.07727067607990679,0.7736185368418695,0.22719313322489684,0.00023771581445204346,1.2450839863993426e-14,0.011484931708313755,0.005927910853162887,1.3238126739555937e-12,0.0004724017134497118
1.0,10.0,4,weekend_midday,ok,2073,456,-0.07865311873068725,0.8406566147306918,0.2243433612067966,0.00011668614344093258,5.066801862866344e-15,0.00901919535323153,0.013210065792348567,0.014309965223579328,9.470791218934523e-05
1.0,10.0,4,weekend_evening,ok,2073,456,-0.08050014633517995,0.7945478446335978,0.2523206869404071,0.00011804597890098307,1.7312033138738707e-15,0.012966361049024988,0.008056672871225412,5.277898302194176e-18,0.0008778941754973135
1.0,10.0,5,weekday_morning,ok,1952,577,0.05211090483241218,0.8163557540665286,0.17660702353053348,5.822449129669347e-16,5.043575228994321e-16,0.007233796443276962,0.012373663064780178,0.006349689456600395,0.004506071647727288
1.0,10.0,5,weekday_evening,ok,1952,577,0.06852198920981493,0.7494071246700451,0.2242537210039908,4.244221860027441e-13,2.661434604524072e-15,0.008119471908588,0.013258039442479552,0.0062866788916151085,0.0025059379237546524
1.0,10.0,5,weekend_midday,ok,1952,577,0.041251669406665296,0.7806471465689521,0.2222709939285887,5.668379484710177e-13,6.561692699828915e-14,0.006583878069061164,0.014631506371720065,0.019307441786911485,0.005315301633575078
1.0,10.0,5,weekend_evening,ok,1952,577,0.04653419124534889,0.7765519681036172,0.25113921447717513,8.002436762380429e-19,2.882104669673346e-18,0.008830850410240646,0.014590098752483236,0.007185429671906176,0.003607824614876978
3.0,0.0,1,weekday_morning,ok,2033,496,0.10965011748506359,0.7356575225088433,0.1766067736122157,8.241964690048615e-20,8.448265510284819e-22,0.0028400660565162466,0.00276395954592236,1.1491291449254023e-12,8.169569217131175e-17
3.0,0.0,1,weekday_evening,ok,2033,496,0.1704455386051396,0.7351271462676043,0.22918190039535535,7.595561761123696e-14,2.849162720963503e-16,0.002605317641375401,0.0035752111021077632,1.0433051499534391e-16,0.0003695820347819355
3.0,0.0,1,weekend_midday,ok,2033,496,0.09159109792059499,0.6900790094259521,0.2197403227655157,2.0306118353285635e-16,1.0787446245384326e-16,0.002567719312221759,0.005505078237078279,0.002132117848133991,1.4363826067468238e-20
3.0,0.0,1,weekend_evening,ok,2033,496,0.13038673363181463,0.7186361956011991,0.2518129343145467,1.4135335913645212e-18,1.1014741965559052e-20,0.0028851854887437097,0.004475002689693755,1.4602421023322435e-22,0.0001671287521082511
3.0,0.0,2,weekday_morning,ok,2007,522,0.06088446088427731,0.7090408101325223,0.1712812572702392,0.0001566454427198112,0.0002223318732724942,0.0011849949522863728,2.404338377736495e-11,0.003207219560615981,0.0008348592384540294
3.0,0.0,2,weekday_evening,ok,2007,522,0.10101977237160441,0.6518970570654041,0.22304547125924282,0.000144849339119649,3.416109610690709e-26,0.001991260026786995,0.0006417019433693066,5.294518296656409e-16,0.0003155994634473624
