run_key,status,province,block_id,budget_fraction,budget_k,method,candidate_count,hidden_stations,robustness_family,temporal_condition,excluded_local_date,selected_count,proposed_objective,temporal_incremental_coverage,bottom20_final_coverage,zone_jain,zone_gini,mean_service_distance_km,p95_service_distance_km,redundancy_jaccard,min_selected_pair_distance_km,heldout_temporal_demand_capture,heldout_recall_1km,heldout_recall_2km,heldout_top25_recall_2km,heldout_mean_nearest_selected_km,candidate_availability_capture_upper_bound,candidate_availability_recall_1km_upper_bound,candidate_availability_recall_2km_upper_bound,normalized_heldout_capture,normalized_heldout_recall_1km,normalized_heldout_recall_2km,marginal_evaluations,selected,constraint_valid_indices,constraint_unique_indices,constraint_budget_ok,constraint_candidate_eligible,constraint_province_match,constraint_min_new_distance_ok,constraint_existing_exclusion_ok,constraint_all_ok,audited_min_new_distance_km,audited_min_existing_distance_km,runtime_seconds,swaps,local_evaluations
|temporal_lodo|full_reaggregated|hochiminh|2|B5_static_coverage,ok,hochiminh,2,0.05,48,B5_static_coverage,960,79,temporal_lodo,full_reaggregated,,48,0.08259925518438366,0.09543235712625797,0.045693931073143956,0.3314899971074873,0.7043245760772168,4.370545641870398,16.10831422821551,0.03382389585218543,0.5074513588401441,0.006045487635031063,0.004177452449197798,0.01980232765447648,0.0,17.177232750345567,0.28793275004127133,0.32616651015274395,0.5695826322897595,0.020996179261179988,0.012807729546609475,0.03476638249110551,3768,48,True,True,True,True,True,True,True,True,0.5074513588401441,0.25568673924019586,0.5221023999997669,,
|temporal_lodo|full_reaggregated|hochiminh|2|B6_evspark_cover,ok,hochiminh,2,0.05,48,B6_evspark_cover,960,79,temporal_lodo,full_reaggregated,,48,0.30501567142316194,0.1000483738475271,0.15891844480829942,0.39235877817247583,0.6507107487037298,1.3321036933223158,4.479331560955123,0.021369732285227903,0.5644859056671184,0.18118732811391855,0.18992505128768578,0.4499481914634529,0.55,6.31451880513538,0.28793275004127133,0.32616651015274395,0.5695826322897595,0.6292696057949217,0.5822947647161684,0.7899612206478833,1341,48,True,True,True,True,True,True,True,True,0.5644859056671184,0.3122996664757522,0.14918265000005704,0.0,0.0
|temporal_lodo|full_reaggregated|haiphong|0|B5_static_coverage,ok,haiphong,0,0.05,8,B5_static_coverage,153,25,temporal_lodo,full_reaggregated,,8,0.0018180647281285686,0.03929603743043773,0.21694164611916109,0.27398496260403016,0.7555656452082022,4.297637187198271,18.195400664653324,0.1978262462140769,0.6880591025822893,0.0,0.0,0.0,0.0,32.93161642891628,0.1548772071063852,0.17889771595931198,0.21487473313393338,0.0,0.0,0.0,305,8,True,True,True,True,True,True,True,True,0.6880591025822893,0.6415840875004728,0.03349200100001326,,
|temporal_lodo|full_reaggregated|haiphong|0|B6_evspark_cover,ok,haiphong,0,0.05,8,B6_evspark_cover,153,25,temporal_lodo,full_reaggregated,,8,0.11981801634700597,0.04724658395246363,0.05223471658113214,0.299802597505415,0.7320795538646998,1.8225487006460293,5.622934734206533,0.09693877551020409,0.5933390717590676,0.12302149650992122,0.13882192209586697,0.17479893927048837,0.14285714285714285,5.247809995077794,0.1548772071063852,0.17889771595931198,0.21487473313393338,0.7943163413672467,0.7759848768971441,0.8134922925606828,169,8,True,True,True,True,True,True,True,True,0.5933390717590676,3.1813523870452474,0.013852714000222477,0.0,0.0
|temporal_lodo|full_reaggregated|haiphong|1|B5_static_coverage,ok,haiphong,1,0.05,9,B5_static_coverage,171,80,temporal_lodo,full_reaggregated,,9,0.29337002790262495,0.13236507959783075,0.2504306262240188,0.16881632200293706,0.8490757791708103,5.14223886340946,14.64398082174852,0.1781704137220598,0.5079888649318655,0.06892542331499904,0.08998042814058581,0.16764884995320384,0.15,8.524969400048715,0.3771446920483066,0.4669746905786318,0.6096556832989133,0.18275591508569006,0.19268801919241146,0.2749893990096798,401,9,True,True,True,True,True,True,True,True,0.5079888649318655,18.33525298605023,0.03425603799996679,,
|temporal_lodo|full_reaggregated|haiphong|1|B6_evspark_cover,ok,haiphong,1,0.05,9,B6_evspark_cover,171,80,temporal_lodo,full_reaggregated,,9,0.33821469144112504,0.17285035689158376,0.16464645347203186,0.16187880449898662,0.8550674335912816,5.8905332332444855,18.024457178772646,0.22690585142998534,0.5079888649318655,0.11886229130027492,0.10191308624280035,0.20766173384434733,0.2,8.487372049315052,0.3771446920483066,0.4669746905786318,0.6096556832989133,0.31516363296729216,0.2182411344745881,0.3406213368186237,424,9,True,True,True,True,True,True,True,True,0.5079888649318655,17.065283705889602,0.03578090299970427,0.0,0.0
|temporal_lodo|full_reaggregated|haiphong|2|B5_static_coverage,ok,haiphong,2,0.05,8,B5_static_coverage,151,38,temporal_lodo,full_reaggregated,,8,0.0016706660913714654,0.03929603743043773,0.2079418835072308,0.2608155214773717,0.7676381953734117,3.9370260136932833,10.873499386089133,0.1978262462140769,0.6880591025822893,0.0,0.0,0.0,0.0,39.21953265636847,0.09983086703645773,0.09630891792350527,0.37112466714149617,0.0,0.0,0.0,303,8,True,True,True,True,True,True,True,True,0.6880591025822893,0.6415840875004728,0.04491335600005186,,
|temporal_lodo|full_reaggregated|haiphong|2|B6_evspark_cover,ok,haiphong,2,0.05,8,B6_evspark_cover,151,38,temporal_lodo,full_reaggregated,,8,0.12246541356158833,0.03668965621004944,0.037091853076024486,0.2895021347938235,0.7416058850882066,2.194904234157952,7.192547097413856,0.07129865835222979,0.9840360061615944,0.09363820013826578,0.0875335883330869,0.36234933755107784,0.3,9.375429979024645,0.09983086703645773,0.09630891792350527,0.37112466714149617,0.9379684151603089,0.908883520035099,0.9763547660197089,171,8,True,True,True,True,True,True,True,True,0.9840360061615944,3.1813523870452474,0.014001320999796008,0.0,0.0
|temporal_lodo|full_reaggregated|danang|0|B5_static_coverage,ok,danang,0,0.05,13,B5_static_coverage,251,92,temporal_lodo,full_reaggregated,,13,0.3778008004452784,0.20047625448244727,0.38119060889588086,0.11364176672443355,0.897881511965799,5.19165003930318,23.356528626471526,0.22321410989398105,0.5158851956773612,0.10036502877409331,0.1198370294830145,0.2873140089191367,0.34782608695652173,6.083468567590037,0.7002753928982426,0.7754220885485295,0.8445892264483289,0.14332222692948088,0.15454425564189297,0.3401819487176638,607,13,True,True,True,True,True,True,True,True,0.5158851956773612,12.069316765299254,0.10855504599976484,,
|temporal_lodo|full_reaggregated|danang|0|B6_evspark_cover,ok,danang,0,0.05,13,B6_evspark_cover,251,92,temporal_lodo,full_reaggregated,,13,0.4011836516590076,0.2183106475681223,0.2779324829609045,0.1228405680361174,0.8896741274637572,4.562528108008098,23.356528626471526,0.13285714673961388,0.571794767945089,0.1562251530323797,0.16117792055430286,0.3575664736952925,0.30434782608695654,4.779954596679665,0.7002753928982426,0.7754220885485295,0.8445892264483289,0.22309102192754166,0.2078583044442325,0.4233613956916464,677,13,True,True,True,True,True,True,True,True,0.571794767945089,12.075848953145899,0.13487823599962212,0.0,0.0
